,temperature,humidity,weather_description
630,28.0,83,Light rain
631,28.0,83,Light rain
632,30.0,83,Light rain
633,30.0,83,Light rain
634,29.0,83,Overcast clouds
635,29.0,83,Overcast clouds
636,29.0,83,Overcast clouds
637,30.0,79,Overcast clouds
638,30.0,79,Overcast clouds
639,30.0,79,Broken clouds
640,30.0,79,Broken clouds
641,29.0,83,Light rain
642,29.0,83,Light rain
643,29.0,83,Light rain
644,29.0,83,Light rain
645,29.0,83,Light rain
646,29.0,83,Light rain
647,29.0,79,Light rain
648,29.0,79,Overcast clouds
649,29.0,79,Overcast clouds
650,26.0,88,Overcast clouds
651,26.0,94,Overcast clouds
652,26.0,94,Overcast clouds
653,27.0,88,Overcast clouds
654,27.0,88,Overcast clouds
655,27.0,88,Overcast clouds
656,27.0,94,Overcast clouds
657,27.0,94,Overcast clouds
658,27.0,94,Overcast clouds
659,27.0,94,Overcast clouds
660,25.0,94,Overcast clouds
661,25.0,94,Light rain
662,25.0,88,Light rain
663,25.0,88,Light rain
664,26.0,88,Light rain
665,26.0,88,Light rain
666,26.0,88,Light rain
667,26.0,88,Light rain
668,26.0,94,Broken clouds
669,26.0,94,Broken clouds
670,26.0,94,Broken clouds
671,26.0,94,Broken clouds
